

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22180
1 4771 859
1 3836 863
1 4412 509
1 585 935
1 4569 272
1 3759 894
1 2233 519
1 1424 583
1 460 338
2 4972 704
2 2656 11
2 2692 144
2 2810 982
2 570 920
2 2549 723
2 2791 844
2 4913 888
2 1459 65
3 266 161
3 111 503
3 4326 72
3 2652 283
3 2808 360
3 4193 984
3 3810 623
3 1354 60
3 118 517
4 1168 940
4 4624 576
4 4167 577
4 4228 762
4 214 574
4 4570 678
4 2465 300
4 4490 367
4 442 879
5 4181 936
5 464 254
5 1116 990
5 3672 93
5 60 648
5 2291 162
5 242 985
5 3443 423
5 611 960
6 462 843
6 376 103
6 2255 142
6 2971 150
6 3765 270
6 4443 586
6 2139 612
6 681 400
6 2019 867
7 2938 130
7 4700 75
7 2024 160
7 1608 362
7 1684 205
7 226 606
7 839 278
7 3057 965
7 1886 601
8 1482 764
8 4532 207
8 1536 138
8 2987 572
8 2993 499
8 2529 404
8 1768 337
8 2663 332
8 2048 288
9 2125 509
9 4093 770
9 2526 212
9 4814 433
9 3478 724
9 3367 937
9 3448 837
9 2693 271
9 129 857
10 4433 265
10 1801 175
10 2423 486
10 4282 642
10 4518 503
10 1863 147
10 389 201
10 4181 223
10 86 563
11 1365 561
11 3432 161
11 3982 640
11 4979 790
11 3559 108
11 2633 563
11 1098 967
11 2099 71
11 311 753
12 4359 737
12 4870 511
12 4292 233
12 2781 511
12 1791 764
12 4223 48
12 4743 585
12 178 472
12 132 643
13 3474 597
13 1091 724
13 2194 286
13 3017 188
13 4593 265
13 3666 636
13 258 955
13 675 809
13 909 471
14 550 418
14 3544 635
14 1285 485
14 1252 832
14 2104 304
14 3310 88
14 1519 837
14 487 66
14 21 590
15 4653 456
15 4003 243
15 2914 776
15 1577 787
15 916 253
15 972 385
15 147 806
15 3394 943
15 327 819
16 4584 771
16 3403 857
16 1184 432
16 4665 903
16 2055 420
16 2961 908
16 1349 552
16 2073 292
16 761 291
17 3429 806
17 821 718
17 265 56
17 1199 842
17 4175 374
17 4147 899
17 4097 940
17 2448 969
17 696 675
18 733 800
18 3905 157
18 3830 412
18 825 136
18 3758 385
18 66 747
18 2629 594
18 4086 140
18 1270 567
19 2019 800
19 613 262
19 2772 829
19 3022 376
19 2609 724
19 2572 695
19 4532 966
19 3712 600
19 3357 859
20 2340 61
20 1838 571
20 3159 381
20 2146 479
20 4934 652
20 3619 918
20 716 738
20 442 218
20 736 604
21 1888 62
21 3709 156
21 14 590
21 767 866
21 2941 550
21 2325 187
21 1898 513
21 4832 227
21 3042 919
22 223 322
22 576 405
22 4495 681
22 83 944
22 3876 917
22 2732 976
22 3005 510
22 641 554
22 275 186
23 114 445
23 2178 344
23 2174 317
23 3052 684
23 54 983
23 3715 113
23 1703 793
23 4061 746
23 1692 993
24 194 696
24 554 678
24 4332 444
24 355 189
24 786 946
24 3439 129
24 1644 318
24 4306 740
24 2319 346
25 3186 305
25 264 173
25 3667 85
25 3905 468
25 4617 117
25 960 215
25 1507 429
25 2384 416
25 1396 820
26 4303 437
26 3322 879
26 207 727
26 4331 974
26 578 488
26 1552 851
26 2479 120
26 3842 815
