

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22223
1 3854 482
1 4732 556
1 2439 790
1 573 483
1 1790 752
1 890 916
1 4560 241
1 4390 378
1 1293 626
2 4521 154
2 4341 201
2 2912 350
2 2323 514
2 1495 744
2 2737 126
2 1081 981
2 2597 195
2 1048 99
3 4733 76
3 4107 701
3 2368 808
3 4132 724
3 24 19
3 3312 413
3 2849 66
3 3865 412
3 289 498
4 1467 788
4 1766 389
4 3959 40
4 626 185
4 2361 626
4 1136 865
4 4824 872
4 1223 853
4 165 314
5 930 93
5 3276 406
5 2106 350
5 72 265
5 3872 314
5 471 797
5 4777 659
5 3056 879
5 979 31
6 1306 18
6 4665 172
6 2957 372
6 4966 883
6 1603 647
6 3147 705
6 2639 559
6 1783 363
6 666 166
7 3848 571
7 411 399
7 1491 380
7 2974 97
7 2728 73
7 3983 281
7 4506 908
7 723 681
7 668 141
8 4423 80
8 2123 966
8 3073 402
8 968 279
8 3499 466
8 353 666
8 1743 387
8 4965 724
8 921 677
9 151 191
9 3122 240
9 1851 310
9 2962 647
9 4587 256
9 2191 512
9 4013 226
9 3743 815
9 240 449
10 4787 84
10 3721 749
10 711 17
10 4277 639
10 3131 569
10 4945 83
10 2544 734
10 404 490
10 112 785
11 169 282
11 1820 247
11 2640 447
11 201 495
11 2425 171
11 430 325
11 980 584
11 1467 799
11 1991 402
12 1608 44
12 1348 900
12 838 961
12 4347 403
12 172 847
12 2943 412
12 2167 249
12 2450 715
12 1282 184
13 4451 439
13 1849 857
13 2218 307
13 2852 248
13 1010 87
13 3506 176
13 363 874
13 734 295
13 613 439
14 365 877
14 32 890
14 223 348
14 4766 975
14 2258 50
14 4472 230
14 2593 552
14 4298 134
14 557 58
15 4408 231
15 1284 247
15 3259 777
15 4998 198
15 4458 524
15 722 302
15 1193 169
15 4139 277
15 138 229
16 4964 919
16 3094 886
16 3180 268
16 3555 708
16 2703 104
16 4034 644
16 1803 80
16 479 833
16 744 150
17 4300 981
17 2907 978
17 1383 861
17 4860 68
17 1471 622
17 3092 748
17 1396 665
17 154 882
17 184 443
18 2226 202
18 3067 516
18 1888 317
18 1584 948
18 2152 192
18 2985 138
18 4718 658
18 225 528
18 266 941
19 4827 246
19 2806 775
19 2179 306
19 1697 663
19 4409 728
19 745 434
19 4828 494
19 2470 468
19 2046 365
20 140 300
20 1182 141
20 4760 152
20 1027 972
20 1354 620
20 1064 465
20 1111 975
20 376 350
20 93 646
21 1285 633
21 4272 19
21 3368 104
21 4945 554
21 1251 783
21 3209 452
21 2131 190
21 3761 403
21 369 627
22 4731 847
22 3087 553
22 3431 547
22 33 964
22 1461 788
22 908 93
22 767 115
22 79 684
22 2570 506
23 3335 535
23 3949 677
23 818 386
23 3064 130
23 3788 497
23 1542 986
23 4503 417
23 4297 291
23 417 298
24 4202 168
24 3935 597
24 3 19
24 4359 557
24 533 226
24 3762 262
24 4379 592
24 1502 392
24 2415 318
25 1109 122
25 3140 593
25 3154 777
25 3265 456
25 535 56
25 3698 392
25 2503 755
25 3107 347
25 202 767
26 2670 198
26 4392 347
26 4148 597
26 1709 291
26 3105 894
26 3527 67
26 3315 836
