

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22207
1 421 948
1 2599 532
1 3079 697
1 3425 95
1 2429 954
1 1278 187
1 1734 682
1 2174 958
1 535 711
2 2732 543
2 2264 662
2 3025 449
2 790 218
2 2905 144
2 2682 556
2 2877 13
2 2600 679
2 906 126
3 851 696
3 7 581
3 1514 377
3 1394 470
3 4201 880
3 1184 94
3 865 425
3 2383 317
3 994 480
4 1100 616
4 3979 977
4 700 400
4 2121 701
4 4218 138
4 3232 242
4 660 763
4 4017 418
4 1091 158
5 2795 54
5 722 801
5 1864 647
5 439 659
5 128 747
5 2452 72
5 3192 801
5 1042 399
5 975 376
6 4505 299
6 2541 344
6 3230 112
6 2376 204
6 4537 130
6 3738 843
6 4769 942
6 373 69
6 393 948
7 3 581
7 4681 539
7 1504 149
7 3932 593
7 3976 688
7 2078 746
7 4646 911
7 1931 923
7 1504 321
8 1254 129
8 4763 937
8 1905 210
8 2765 196
8 4579 463
8 3841 106
8 3735 14
8 3253 562
8 95 877
9 1276 94
9 4893 527
9 2325 748
9 4858 122
9 4200 885
9 134 706
9 185 420
9 4218 873
9 2124 944
10 1460 634
10 236 520
10 2013 246
10 1352 901
10 1515 490
10 4134 751
10 4016 285
10 4867 638
10 310 274
11 3588 934
11 1173 119
11 3408 990
11 4106 304
11 2626 972
11 1764 596
11 2052 206
11 1098 877
11 1206 810
12 4518 755
12 3078 620
12 3203 827
12 4658 530
12 297 350
12 3899 343
12 2873 488
12 1671 211
12 1232 776
13 4029 85
13 3003 245
13 4884 535
13 4158 605
13 4054 836
13 3845 27
13 435 914
13 2306 297
13 1365 769
14 1086 781
14 2909 726
14 3013 123
14 2066 81
14 2041 538
14 2667 816
14 746 1000
14 1334 78
14 210 20
15 2495 166
15 4865 371
15 3902 216
15 4703 925
15 3186 593
15 1161 610
15 3528 557
15 3319 406
15 114 62
16 1189 577
16 3223 244
16 693 863
16 1393 686
16 2818 212
16 3243 607
16 4118 282
16 893 582
16 1246 204
17 1739 841
17 1642 438
17 4822 104
17 4105 643
17 3586 211
17 2961 442
17 3374 538
17 613 59
17 1923 690
18 3682 313
18 4524 214
18 1739 962
18 979 195
18 3442 288
18 4199 847
18 4164 483
18 4317 863
18 628 158
19 804 27
19 4873 463
19 641 922
19 4162 948
19 570 616
19 2269 481
19 2669 863
19 2310 282
19 1133 479
20 3048 856
20 2157 212
20 3163 772
20 93 429
20 1989 27
20 3094 846
20 3829 83
20 346 912
20 444 758
21 604 652
21 528 217
21 1072 99
21 460 971
21 1487 238
21 4920 673
21 3686 771
21 4590 821
21 1238 47
22 1679 182
22 411 229
22 3192 95
22 2349 42
22 4582 884
22 3466 959
22 2633 966
22 4279 901
22 459 320
23 3230 503
23 3364 329
23 4263 333
23 1052 909
23 4147 254
23 3065 236
23 2293 56
23 3158 853
23 691 300
24 929 929
24 842 592
24 4651 507
24 4962 380
24 1214 91
24 294 600
24 1408 492
24 265 71
24 314 234
25 2647 266
25 2324 735
25 3653 415
25 85 498
25 3640 407
25 3609 310
25 4439 613
25 3698 605
25 1283 242
26 3335 879
26 589 941
26 3761 506
26 156 669
26 2990 505
26 2536 774
