

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22212
1 1942 29
1 1016 738
1 2991 341
1 1887 606
1 1602 292
1 2648 995
1 2561 748
1 273 729
1 2812 912
2 3926 683
2 149 484
2 4295 488
2 427 387
2 4011 320
2 2720 384
2 3651 115
2 2180 730
3 4616 464
3 1695 696
3 1571 321
3 4229 954
3 3518 366
3 1980 706
3 1171 16
3 183 329
3 1494 597
4 1813 380
4 345 813
4 2933 61
4 1087 372
4 2036 627
4 168 111
4 4466 986
4 1046 219
4 962 953
5 2740 357
5 314 416
5 4357 489
5 1518 399
5 1512 944
5 4121 414
5 1311 999
5 879 266
5 914 624
6 2787 195
6 2046 358
6 2070 894
6 4040 531
6 3075 220
6 2363 613
6 3404 119
6 556 539
6 11 81
7 1979 379
7 3836 853
7 2511 21
7 4473 319
7 1317 75
7 1804 772
7 635 538
7 2735 95
7 704 387
8 221 372
8 1118 179
8 3369 236
8 2933 683
8 2908 856
8 2211 68
8 3020 848
8 920 73
8 857 631
9 1600 24
9 1612 506
9 472 385
9 1156 798
9 3082 598
9 2018 698
9 2434 914
9 272 84
9 151 452
10 2310 698
10 2825 611
10 4713 483
10 2126 479
10 1747 954
10 3845 960
10 4419 62
10 2498 414
10 165 33
11 4103 700
11 4830 67
11 1939 59
11 6 81
11 2310 998
11 3755 433
11 558 289
11 4360 344
11 1335 267
12 1829 18
12 3251 802
12 1622 504
12 1935 954
12 571 987
12 509 864
12 4280 352
12 1982 948
12 1792 580
13 532 376
13 243 897
13 198 375
13 3844 485
13 3955 27
13 3294 282
13 2402 308
13 3555 441
13 1522 266
14 4609 732
14 3279 742
14 576 957
14 3844 625
14 3571 511
14 4772 68
14 2283 938
14 1951 891
14 1279 264
15 2066 510
15 3283 564
15 263 50
15 4488 392
15 1444 43
15 3271 688
15 3647 715
15 2610 774
15 802 259
16 2139 40
16 4178 254
16 4808 998
16 4845 276
16 554 346
16 4623 548
16 3412 518
16 2263 485
16 1636 167
17 1602 334
17 4950 370
17 4372 599
17 3526 502
17 1444 34
17 2212 460
17 4286 92
17 2600 925
17 376 714
18 4022 197
18 1708 446
18 872 128
18 74 525
18 4336 721
18 3470 511
18 4938 812
18 4055 961
18 1727 315
19 4823 477
19 2725 568
19 4417 953
19 1620 920
19 3495 148
19 1161 905
19 3620 885
19 873 274
19 1112 747
20 4350 407
20 2592 332
20 2865 266
20 3120 451
20 1134 513
20 1935 464
20 2941 925
20 2874 411
20 1375 374
21 1464 881
21 4706 147
21 1043 223
21 2771 780
21 2361 167
21 2822 652
21 3206 717
21 2308 527
21 1443 236
22 1990 385
22 4281 308
22 1027 912
22 919 592
22 858 305
22 1060 183
22 2578 996
22 3576 846
22 1177 170
23 2882 323
23 156 912
23 2602 938
23 3420 86
23 3869 235
23 4170 923
23 3988 869
23 3594 943
23 1973 532
24 4886 344
24 792 485
24 116 442
24 2180 614
24 3561 111
24 1374 481
24 4306 508
24 585 756
24 1057 394
25 4475 428
25 1253 786
25 3138 344
25 3885 779
25 3527 501
25 2129 316
25 4321 402
25 3022 246
25 1696 511
26 3547 660
26 4909 201
26 3193 817
26 804 23
26 482 861
26 1231 189
26 812 496
