

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22214
1 245 17
1 2201 91
1 3599 997
1 1715 852
1 4025 395
1 1301 288
1 804 893
1 1536 625
1 1827 202
2 4016 918
2 4334 512
2 2309 858
2 1381 312
2 4651 923
2 4402 584
2 2524 466
2 1206 917
2 2434 893
3 214 295
3 869 920
3 3682 671
3 1775 732
3 859 241
3 4142 565
3 690 226
3 428 301
3 1022 306
4 2976 802
4 412 884
4 4404 770
4 947 424
4 4198 341
4 2530 93
4 4009 776
4 2759 277
4 238 78
5 4222 618
5 3003 863
5 4683 733
5 1266 954
5 4219 985
5 3902 135
5 2050 507
5 2688 153
5 98 692
6 2844 87
6 3990 600
6 487 455
6 3717 912
6 388 71
6 2242 228
6 3576 260
6 1349 440
6 348 297
7 1179 770
7 4621 430
7 3374 681
7 631 258
7 4139 856
7 2393 100
7 1902 323
7 2379 254
7 2947 474
8 828 930
8 4814 513
8 3833 862
8 1723 430
8 4659 704
8 1494 574
8 3942 751
8 4024 297
8 10 401
9 3682 481
9 2966 120
9 3409 166
9 471 590
9 2158 625
9 4757 944
9 2049 21
9 617 699
9 119 794
10 2289 190
10 1076 379
10 128 196
10 8 401
10 4370 781
10 852 285
10 1369 23
10 1788 1000
10 296 862
11 1613 452
11 1456 207
11 3335 747
11 2523 343
11 1194 995
11 4308 778
11 4163 91
11 1586 982
11 122 503
12 1766 663
12 3018 474
12 2949 856
12 4555 428
12 4433 596
12 2535 681
12 883 384
12 4293 759
12 1484 932
13 2232 640
13 755 207
13 2631 195
13 1158 274
13 4070 217
13 1377 394
13 3930 783
13 2384 920
13 62 238
14 744 61
14 3689 336
14 3149 304
14 2430 353
14 2821 10
14 1335 508
14 3061 729
14 3469 202
14 199 36
15 1246 428
15 180 226
15 3763 520
15 3404 574
15 2601 892
15 3952 527
15 4192 313
15 582 233
15 1405 354
16 4003 933
16 3031 674
16 759 533
16 664 942
16 4913 291
16 2515 509
16 2442 504
16 3075 909
16 635 261
17 2568 27
17 3823 618
17 1663 655
17 3734 361
17 3001 288
17 3567 175
17 908 841
17 463 170
17 749 338
18 502 810
18 4216 30
18 1018 18
18 91 288
18 876 426
18 3469 309
18 1685 596
18 4025 211
18 358 121
19 3578 190
19 3505 434
19 1235 580
19 2361 410
19 4187 40
19 289 56
19 2548 671
19 3275 15
19 857 137
20 1326 517
20 1951 140
20 2575 897
20 1367 224
20 163 857
20 3342 939
20 2596 541
20 4092 132
20 830 176
21 1846 212
21 3617 776
21 1807 205
21 2808 852
21 4395 149
21 1440 615
21 2427 710
21 656 271
21 225 437
22 2861 882
22 1981 605
22 587 279
22 166 841
22 1317 662
22 1387 366
22 281 963
22 3725 764
22 1685 212
23 888 39
23 1492 335
23 934 434
23 4326 630
23 3201 396
23 1055 868
23 2328 129
23 4849 798
23 1059 391
24 663 945
24 2271 949
24 3398 719
24 55 456
24 1440 374
24 3789 584
24 3006 972
24 2864 530
24 1341 418
25 4179 478
25 113 299
25 3747 738
25 4565 659
25 4707 413
25 2174 988
25 4410 593
25 1873 748
25 84 816
26 3155 550
26 2241 398
26 1268 838
26 3968 986
26 3141 281
26 4373 695
26 1456 142
