

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22214
1 2763 787
1 986 430
1 725 405
1 551 748
1 4037 565
1 2060 194
1 389 335
1 3678 427
1 815 848
2 1181 885
2 243 548
2 2259 759
2 3532 720
2 613 815
2 4921 840
2 1118 955
2 767 369
2 416 698
3 796 814
3 1776 551
3 1453 810
3 4854 498
3 1084 570
3 1040 135
3 3605 684
3 4937 367
3 268 79
4 4195 173
4 2738 18
4 1182 273
4 1231 436
4 2515 953
4 4492 701
4 2230 147
4 2641 547
4 176 28
5 875 58
5 1780 889
5 4709 902
5 835 431
5 4278 344
5 652 207
5 3882 51
5 112 921
5 3562 910
6 1744 328
6 21 553
6 1182 817
6 4476 55
6 2741 866
6 130 686
6 2760 901
6 3196 675
6 99 561
7 2380 443
7 3459 655
7 2620 443
7 1398 511
7 3413 733
7 395 479
7 2952 903
7 1651 436
7 624 892
8 4162 934
8 1111 855
8 535 637
8 2958 858
8 4159 275
8 732 759
8 572 770
8 1477 60
8 639 425
9 4295 99
9 1795 163
9 971 162
9 4938 712
9 4318 326
9 355 853
9 3524 698
9 4491 808
9 112 470
10 1576 845
10 261 219
10 790 879
10 2762 532
10 2466 132
10 2321 495
10 3066 69
10 119 438
10 544 58
11 1844 356
11 2782 61
11 1051 76
11 3915 885
11 2409 937
11 1286 888
11 3348 149
11 3460 567
11 289 321
12 3032 570
12 3277 597
12 2060 922
12 2307 693
12 1917 719
12 224 49
12 1681 254
12 2799 847
12 834 623
13 1707 658
13 2990 93
13 100 476
13 1202 604
13 1750 631
13 3092 806
13 3522 174
13 4422 949
13 158 143
14 1487 155
14 4342 656
14 3748 104
14 2012 615
14 4633 903
14 2465 177
14 1988 68
14 4980 443
14 467 68
15 2669 542
15 1194 349
15 1567 828
15 2963 842
15 2243 468
15 1449 394
15 2232 967
15 3211 415
15 89 443
16 3606 871
16 4979 570
16 3971 498
16 3133 240
16 4660 380
16 1126 188
16 2316 493
16 3206 654
16 729 173
17 3204 897
17 2323 425
17 1312 442
17 1344 688
17 3144 158
17 4907 223
17 581 549
17 661 472
17 593 289
18 905 57
18 890 154
18 4982 221
18 2869 419
18 1111 323
18 3898 252
18 84 514
18 277 420
18 1598 737
19 337 714
19 3786 84
19 2287 140
19 854 304
19 890 860
19 4253 487
19 2433 769
19 3204 739
19 1252 140
20 349 540
20 1760 226
20 4623 764
20 1638 318
20 2331 486
20 730 267
20 2110 636
20 2228 822
20 208 392
21 6 553
21 2974 885
21 2380 969
21 4653 707
21 858 493
21 2206 834
21 2682 193
21 449 715
21 1204 261
22 3308 382
22 1078 573
22 3470 85
22 3476 761
22 1650 835
22 2829 185
22 1141 920
22 4179 327
22 583 224
23 3317 328
23 2329 263
23 819 742
23 3486 49
23 1210 728
23 1149 273
23 4542 871
23 1053 647
23 350 940
24 1666 128
24 813 712
24 2082 564
24 2599 455
24 2669 555
24 4686 738
24 452 308
24 4743 889
24 633 412
25 2675 179
25 2440 541
25 1192 465
25 2429 678
25 1093 504
25 2154 727
25 4219 56
25 4839 91
25 214 874
26 1730 490
26 2564 180
26 4056 104
26 4018 940
26 4492 792
26 3051 798
26 1031 482
26 2687 571
