

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22207
1 1713 726
1 3215 368
1 2446 911
1 1352 741
1 2150 990
1 3528 113
1 4867 361
1 4686 85
1 343 79
2 3555 636
2 2938 634
2 1434 693
2 3496 19
2 1794 558
2 1542 85
2 4751 490
2 124 318
2 1399 657
3 3968 355
3 2687 361
3 2712 254
3 2172 648
3 4557 812
3 2549 135
3 4088 737
3 3437 896
3 1383 239
4 1409 198
4 2544 88
4 280 698
4 3336 489
4 1138 979
4 551 529
4 4050 906
4 2290 240
4 50 442
5 3111 421
5 4424 548
5 3650 978
5 585 232
5 2411 399
5 1854 672
5 3221 220
5 1087 162
5 170 64
6 2400 17
6 80 591
6 4702 418
6 2483 221
6 239 622
6 1377 819
6 588 61
6 2015 836
6 858 22
7 4372 832
7 3307 391
7 4085 808
7 3352 179
7 2962 840
7 1682 122
7 824 661
7 1363 753
7 507 12
8 887 427
8 4936 790
8 4326 353
8 4708 119
8 4945 681
8 3026 584
8 4429 27
8 4786 191
8 519 952
9 3671 560
9 3962 756
9 484 326
9 1536 895
9 2226 775
9 1851 876
9 1114 41
9 3500 241
9 52 60
10 2769 689
10 926 301
10 844 400
10 2037 165
10 2447 166
10 2605 58
10 4319 279
10 2021 72
10 18 131
11 859 22
11 4970 21
11 3106 897
11 261 517
11 4610 857
11 4904 499
11 3912 175
11 3867 29
11 2288 894
12 2350 662
12 2459 724
12 1340 70
12 1502 990
12 920 887
12 4231 440
12 182 52
12 1133 806
12 112 518
13 414 790
13 345 84
13 2370 972
13 2103 186
13 2402 489
13 3655 146
13 1873 833
13 745 768
13 2428 568
14 3705 320
14 4406 924
14 1664 820
14 2927 340
14 1143 597
14 3063 403
14 3862 723
14 2639 226
14 1242 711
15 2499 803
15 1133 402
15 918 91
15 2895 363
15 840 720
15 1431 801
15 469 491
15 2601 878
15 722 798
16 785 807
16 4715 289
16 4008 172
16 4728 825
16 1521 145
16 65 631
16 176 274
16 3759 888
16 869 137
17 4258 652
17 2776 239
17 2488 789
17 151 465
17 2738 620
17 1130 66
17 1010 806
17 1105 772
17 74 151
18 207 922
18 4983 141
18 755 56
18 1410 684
18 2420 496
18 444 455
18 265 53
18 10 131
18 810 325
19 4881 229
19 1765 148
19 3347 808
19 1322 90
19 769 190
19 1191 412
19 3253 205
19 4604 948
19 480 180
20 4947 736
20 2400 547
20 4130 26
20 2348 985
20 2461 892
20 3340 347
20 3691 275
20 790 422
20 914 60
21 3078 49
21 795 514
21 3759 529
21 3888 888
21 2756 614
21 3513 698
21 3027 707
21 976 963
21 481 674
22 3367 211
22 2944 817
22 1265 693
22 3402 334
22 4860 709
22 3211 180
22 90 232
22 480 26
22 44 848
23 2314 603
23 347 188
23 1715 859
23 2116 998
23 4919 331
23 2867 832
23 490 755
23 1757 891
23 1834 42
24 715 608
24 3176 774
24 4707 674
24 699 728
24 1454 313
24 1527 213
24 193 532
24 3587 830
24 369 738
25 499 238
25 1258 288
25 4284 234
25 392 903
25 60 111
25 4626 47
25 1041 751
25 4882 509
25 1959 108
26 2007 472
26 3280 204
26 2350 454
26 2341 400
26 2206 527
26 3788 515
26 717 816
26 996 517
26 241 519
