

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22219
1 914 982
1 3968 785
1 1966 594
1 4649 489
1 1030 658
1 881 978
1 224 522
1 1999 244
1 185 140
2 1911 62
2 2999 622
2 4257 812
2 728 71
2 3133 661
2 2724 952
2 982 639
2 489 360
2 1027 246
3 1062 678
3 2427 847
3 1279 338
3 2722 713
3 1666 154
3 4400 918
3 1360 64
3 4221 73
3 1679 627
4 4921 81
4 1366 166
4 4895 404
4 1342 166
4 1949 438
4 4514 189
4 4523 49
4 1913 492
4 243 451
5 81 678
5 2648 616
5 2105 884
5 3304 396
5 4288 964
5 1842 383
5 395 613
5 2133 439
5 667 914
6 2885 11
6 2544 391
6 513 698
6 3395 964
6 4635 232
6 1965 411
6 4067 546
6 999 957
6 494 691
7 274 453
7 4357 839
7 4351 383
7 1276 691
7 3457 334
7 4232 69
7 527 563
7 3646 676
7 250 540
8 2558 268
8 532 124
8 1328 670
8 380 295
8 1402 613
8 2837 977
8 3100 27
8 1491 1000
8 311 94
9 1416 699
9 4422 743
9 1549 444
9 2264 812
9 4465 914
9 4334 431
9 1478 330
9 1744 187
9 941 543
10 4797 616
10 2369 647
10 1500 241
10 495 808
10 3510 170
10 3191 788
10 2332 10
10 614 58
10 200 972
11 1797 105
11 4924 657
11 139 744
11 1999 860
11 1033 442
11 2324 479
11 4648 215
11 4548 334
11 233 61
12 2519 796
12 2136 392
12 553 474
12 631 415
12 2193 346
12 1964 916
12 4700 307
12 3421 318
12 534 335
13 3933 710
13 716 888
13 4303 206
13 2102 243
13 2886 125
13 1718 756
13 1166 785
13 2613 97
13 219 752
14 2833 174
14 1916 383
14 1261 890
14 1131 571
14 2227 325
14 1372 692
14 2263 129
14 2513 61
14 935 387
15 3594 833
15 3622 257
15 2079 636
15 4499 979
15 4638 690
15 2691 868
15 883 339
15 3277 38
15 3321 186
16 3184 845
16 1700 669
16 2508 861
16 1791 781
16 1415 867
16 3574 808
16 691 903
16 4935 329
16 481 789
17 3646 106
17 3719 898
17 3087 743
17 3400 953
17 2363 586
17 4804 273
17 1740 449
17 2570 623
17 275 666
18 1641 854
18 1979 966
18 3574 485
18 3021 492
18 1405 591
18 3223 214
18 2643 772
18 288 564
18 628 526
19 775 900
19 698 660
19 767 330
19 4436 863
19 1269 219
19 3431 396
19 4731 670
19 1056 760
19 1000 50
20 4685 765
20 4792 884
20 4094 821
20 1533 415
20 2865 220
20 4913 397
20 2066 987
20 2245 455
20 1136 136
21 2599 478
21 3802 732
21 1934 867
21 85 966
21 1831 121
21 2689 745
21 1937 370
21 3111 611
21 400 837
22 1407 501
22 157 870
22 4197 735
22 264 477
22 4722 346
22 1019 75
22 3529 727
22 2351 426
22 2714 24
23 2783 317
23 1666 122
23 708 977
23 4183 579
23 4252 639
23 2595 487
23 3246 630
23 2113 90
23 1377 749
24 91 195
24 4489 552
24 4403 451
24 378 129
24 3276 378
24 896 805
24 1380 206
24 2750 453
24 1733 287
25 3401 472
25 2442 533
25 181 976
25 2620 645
25 374 467
25 2806 585
25 1289 821
25 3854 353
25 131 287
26 4274 118
26 2234 33
26 4768 656
26 1725 901
26 4128 751
26 4441 963
