

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22223
1 2748 855
1 2059 376
1 2588 796
1 489 619
1 4511 957
1 184 78
1 4689 858
1 1007 75
1 1660 884
2 1974 458
2 1831 586
2 3465 552
2 1711 134
2 358 529
2 1806 914
2 1132 304
2 2818 339
2 29 288
3 1927 682
3 2138 716
3 1820 980
3 1198 897
3 4888 373
3 4955 898
3 4651 694
3 4358 252
3 510 832
4 861 483
4 1137 784
4 4468 876
4 385 250
4 2995 438
4 4978 996
4 528 641
4 3653 336
4 70 259
5 4153 926
5 1432 852
5 1185 876
5 1222 683
5 357 754
5 2398 753
5 3618 963
5 1617 602
5 909 274
6 3641 272
6 4055 744
6 2264 727
6 2331 494
6 3366 484
6 2427 17
6 2580 995
6 4693 560
6 72 442
7 3056 490
7 4093 625
7 1905 509
7 3385 359
7 2709 153
7 2373 777
7 3847 873
7 3913 666
7 2023 247
8 1356 618
8 2091 199
8 3984 940
8 2731 358
8 2609 536
8 2457 706
8 3622 395
8 3138 152
8 379 83
9 1854 407
9 1035 916
9 2827 873
9 2523 175
9 1078 876
9 3684 246
9 4589 228
9 1766 993
9 180 437
10 3414 199
10 925 869
10 456 749
10 3894 337
10 4083 697
10 1209 715
10 3172 411
10 2018 485
10 1267 587
11 688 77
11 164 40
11 4638 437
11 3356 200
11 613 849
11 1597 639
11 4761 960
11 1548 66
11 2964 355
12 2094 499
12 2127 846
12 390 998
12 3821 688
12 3650 365
12 4980 534
12 2428 395
12 4760 672
12 3089 915
13 2293 195
13 4099 304
13 735 853
13 928 666
13 1259 865
13 1037 148
13 123 331
13 1858 593
13 342 496
14 1283 215
14 4062 92
14 2238 617
14 1877 368
14 276 503
14 4188 880
14 1359 194
14 1996 663
14 656 104
15 1390 961
15 277 344
15 2650 662
15 465 601
15 3551 525
15 2938 607
15 2544 596
15 3190 57
15 71 767
16 3184 819
16 850 958
16 4514 882
16 2401 700
16 4971 992
16 3074 850
16 4063 982
16 1909 652
16 477 289
17 251 102
17 4255 274
17 1077 110
17 2707 922
17 1808 513
17 3795 312
17 4380 718
17 885 221
17 349 510
18 3709 963
18 1072 990
18 2187 122
18 3567 558
18 4039 37
18 4883 115
18 3687 268
18 4539 589
18 2348 432
19 3451 359
19 2083 114
19 4244 565
19 4920 804
19 1617 123
19 347 968
19 628 455
19 2832 977
19 2202 305
20 4790 932
20 3377 539
20 459 942
20 3244 601
20 3589 138
20 4121 371
20 4303 576
20 504 895
20 377 412
21 4854 644
21 2129 440
21 2147 992
21 3245 980
21 1724 752
21 2193 455
21 4451 943
21 624 800
21 2219 572
22 1743 934
22 4643 698
22 292 181
22 112 226
22 1727 656
22 4706 531
22 921 428
22 2024 256
22 620 999
23 4067 881
23 3536 13
23 3430 411
23 1635 743
23 182 482
23 2424 527
23 1579 62
23 4513 669
23 64 582
24 2754 472
24 456 77
24 1155 21
24 620 590
24 169 840
24 1671 435
24 3565 625
24 2731 115
24 1456 698
25 4723 817
25 3350 647
25 1078 791
25 3828 345
25 3089 235
25 4211 711
25 3346 155
25 601 560
25 638 825
26 447 961
26 1533 173
26 687 506
26 2208 47
26 1396 998
26 567 831
26 1129 298
