

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22188
1 3900 913
1 2324 589
1 211 903
1 480 485
1 4154 52
1 4269 249
1 3016 375
1 821 613
1 573 55
2 2277 882
2 573 974
2 3934 385
2 4813 566
2 2012 966
2 1948 133
2 4444 705
2 743 78
2 1536 888
3 4248 491
3 3194 271
3 2809 563
3 1876 999
3 1266 121
3 4111 151
3 1346 846
3 3262 564
3 953 380
4 4763 135
4 583 861
4 2502 958
4 4131 748
4 947 157
4 1195 628
4 1987 351
4 2510 540
4 283 910
5 4485 588
5 397 87
5 1800 838
5 4719 589
5 3581 567
5 4010 398
5 1014 639
5 4774 899
5 693 441
6 3318 721
6 4025 429
6 2418 700
6 107 711
6 1178 613
6 1966 849
6 2251 546
6 1900 370
6 625 369
7 2591 746
7 2708 116
7 2399 424
7 780 173
7 3157 180
7 4734 551
7 4097 835
7 3902 550
7 2163 71
8 2107 201
8 1834 674
8 2616 265
8 1770 990
8 148 281
8 3613 122
8 3131 405
8 384 464
8 646 350
9 2245 437
9 4267 951
9 4791 45
9 690 55
9 4796 899
9 2941 221
9 3387 402
9 2930 34
9 345 278
10 215 179
10 1082 136
10 2008 556
10 2850 58
10 4819 652
10 1485 782
10 1015 483
10 3768 747
10 388 267
11 2928 975
11 1886 621
11 1149 136
11 2783 204
11 3802 630
11 1290 17
11 1866 960
11 3337 714
11 440 962
12 970 282
12 2194 328
12 920 937
12 1559 596
12 4997 778
12 3553 379
12 4855 142
12 813 192
12 706 294
13 365 641
13 568 110
13 4506 493
13 3460 115
13 551 681
13 737 199
13 958 658
13 3681 284
13 4308 924
14 1926 379
14 2013 352
14 1684 519
14 1055 420
14 3300 291
14 2914 283
14 669 528
14 1230 33
14 732 207
15 4484 426
15 3979 603
15 3015 957
15 373 107
15 2536 819
15 3895 297
15 3482 721
15 1616 747
15 1537 923
16 2138 314
16 4088 931
16 3636 201
16 4786 676
16 871 275
16 2055 605
16 1139 188
16 3807 730
16 2287 799
17 1706 118
17 4660 867
17 2501 617
17 1361 164
17 247 349
17 1537 387
17 76 580
17 2483 810
17 611 563
18 3912 222
18 3114 427
18 4446 710
18 3708 647
18 1434 446
18 4662 299
18 2675 275
18 1013 955
18 1527 905
19 2631 490
19 856 70
19 616 339
19 3804 323
19 2528 51
19 3896 454
19 3386 993
19 2252 740
19 1727 365
20 766 305
20 2509 775
20 550 264
20 1893 585
20 2050 78
20 939 178
20 2103 960
20 774 676
20 377 124
21 907 841
21 428 384
21 4969 677
21 1308 511
21 2586 354
21 244 951
21 3091 961
21 1307 669
21 24 772
22 1750 738
22 2760 470
22 4361 264
22 4702 139
22 3161 668
22 2729 66
22 2093 464
22 2038 702
22 1585 70
23 914 455
23 1699 913
23 348 35
23 1989 779
23 2622 633
23 3690 859
23 2252 835
23 4289 720
23 211 318
24 1703 569
24 49 78
24 21 772
24 4390 340
24 4931 413
24 1433 213
24 3601 591
24 4740 391
24 629 960
25 3819 919
25 3360 557
25 4438 157
25 3175 127
25 2089 88
25 2024 90
25 4540 114
25 2591 45
25 332 139
26 4288 844
26 2413 770
26 4477 259
26 2455 515
26 2629 210
26 2917 741
26 3979 842
