

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22219
1 113 86
1 3163 827
1 802 130
1 4556 560
1 611 688
1 2149 431
1 3040 339
1 3060 65
1 284 280
2 1379 296
2 4909 236
2 4557 130
2 4259 496
2 2835 622
2 3269 598
2 3130 690
2 1371 918
2 83 537
3 2902 200
3 2046 596
3 2724 389
3 1351 602
3 4084 500
3 126 110
3 29 301
3 1410 197
3 699 359
4 4908 276
4 4385 422
4 2450 296
4 1914 535
4 2952 997
4 3554 980
4 1880 998
4 2847 963
4 433 550
5 4077 561
5 1489 532
5 2884 604
5 942 384
5 2876 913
5 40 255
5 3326 376
5 610 470
5 1085 703
6 3484 334
6 1072 347
6 2735 573
6 3645 954
6 1768 176
6 4753 790
6 1315 237
6 2411 86
6 441 724
7 4662 943
7 2315 74
7 2990 851
7 3125 296
7 3775 477
7 2287 936
7 4790 757
7 1727 833
7 671 792
8 3846 357
8 3577 215
8 3243 558
8 968 907
8 4507 402
8 328 736
8 3664 883
8 1355 776
8 2751 310
9 89 205
9 4014 340
9 377 777
9 4648 510
9 4125 357
9 2308 653
9 4373 588
9 4687 993
9 121 860
10 1403 400
10 1503 336
10 2754 666
10 2510 135
10 2904 193
10 2912 37
10 2354 514
10 4065 143
10 129 121
11 1994 933
11 4488 340
11 1808 256
11 453 819
11 4715 974
11 901 186
11 4266 628
11 3133 701
11 262 628
12 966 578
12 250 604
12 3958 687
12 3209 129
12 2223 760
12 4182 798
12 2572 48
12 223 316
12 180 152
13 3165 886
13 2974 578
13 2278 828
13 677 441
13 3365 224
13 4195 195
13 1837 860
13 1994 599
13 2765 949
14 2290 424
14 942 547
14 4157 544
14 2994 61
14 1146 877
14 4517 615
14 4270 104
14 1138 306
14 281 315
15 237 175
15 4999 271
15 3323 845
15 4172 226
15 3361 495
15 425 60
15 3880 814
15 4325 601
15 88 32
16 2917 567
16 3714 493
16 2193 13
16 3767 498
16 4517 214
16 1932 695
16 1358 288
16 3447 910
16 1786 955
17 3520 911
17 521 34
17 3754 966
17 310 196
17 3391 204
17 2219 861
17 3117 586
17 3959 868
17 337 530
18 3525 374
18 2438 353
18 2136 87
18 1171 340
18 483 357
18 4611 919
18 4013 664
18 3056 691
18 49 725
19 3719 159
19 2375 615
19 489 919
19 4905 94
19 2615 600
19 2053 830
19 2666 465
19 2095 572
19 296 781
20 1022 47
20 884 950
20 161 977
20 4122 176
20 2055 508
20 3810 111
20 2463 900
20 1557 945
20 1803 975
21 1275 49
21 441 112
21 474 319
21 3324 84
21 4545 226
21 2070 318
21 4070 96
21 4583 810
21 255 954
22 3255 451
22 2311 492
22 1677 866
22 757 198
22 348 601
22 3103 458
22 4868 191
22 1489 140
22 658 692
23 595 475
23 764 411
23 303 606
23 2463 743
23 277 620
23 4766 229
23 1539 497
23 4291 379
23 235 249
24 1451 719
24 2769 88
24 820 14
24 3819 795
24 3333 558
24 2926 255
24 1387 189
24 704 691
24 218 834
25 3498 922
25 4951 703
25 4236 671
25 3594 826
25 2381 710
25 2376 18
25 1731 613
25 4504 757
25 1547 662
26 3250 880
26 2581 769
26 1562 386
26 460 107
26 2357 225
26 534 533
26 2461 109
