

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22201
1 3440 395
1 4378 784
1 1759 386
1 2784 742
1 2090 471
1 977 379
1 723 165
1 1825 937
1 2044 518
2 637 120
2 3073 202
2 2235 726
2 2177 172
2 2406 113
2 1193 848
2 4861 668
2 2709 363
2 1265 962
3 3163 660
3 4532 243
3 4086 212
3 2980 783
3 4861 287
3 1515 811
3 4124 948
3 2919 641
3 1969 987
4 148 280
4 2927 506
4 836 580
4 1478 736
4 4878 819
4 3505 854
4 593 577
4 1003 835
5 3199 326
5 811 762
5 224 862
5 2393 586
5 153 677
5 3086 847
5 2383 871
5 147 395
5 1775 895
6 129 760
6 4898 836
6 2436 135
6 1566 759
6 3663 226
6 475 960
6 4731 877
6 3760 478
6 44 696
7 3334 471
7 563 722
7 2957 314
7 1720 185
7 649 294
7 4250 38
7 1269 638
7 3660 153
7 273 511
8 825 538
8 594 801
8 1742 32
8 3363 661
8 513 44
8 4071 519
8 1522 721
8 2210 711
8 828 326
9 1753 34
9 2012 367
9 2823 144
9 1034 680
9 2339 781
9 3514 183
9 4761 425
9 195 444
9 222 409
10 2347 431
10 532 859
10 659 314
10 3985 333
10 1085 556
10 1052 724
10 2092 413
10 1006 939
10 124 338
11 2581 38
11 1473 221
11 627 378
11 3256 85
11 4767 203
11 36 972
11 853 403
11 1494 348
11 897 432
12 3963 518
12 2244 169
12 3566 745
12 4838 737
12 1592 295
12 87 347
12 828 122
12 1881 19
12 40 802
13 775 792
13 4415 549
13 770 615
13 3794 192
13 50 534
13 3168 934
13 3930 578
13 528 937
13 412 384
14 1352 687
14 133 358
14 4592 742
14 2636 578
14 4336 506
14 4986 265
14 488 853
14 1227 357
14 905 235
15 4951 776
15 4059 316
15 2559 641
15 2033 216
15 3087 833
15 3001 889
15 4549 896
15 3068 934
15 104 279
16 147 499
16 3591 335
16 4296 670
16 2978 799
16 362 354
16 3272 956
16 1772 590
16 1748 699
16 172 961
17 3968 99
17 3869 445
17 1389 396
17 4008 282
17 2908 424
17 1659 855
17 4251 793
17 1555 808
17 1409 214
18 1808 163
18 442 852
18 3955 286
18 2545 541
18 4053 714
18 806 548
18 4552 809
18 4277 98
18 35 842
19 1448 666
19 291 710
19 4992 28
19 1218 718
19 4808 524
19 4221 640
19 4698 839
19 3071 627
19 3273 674
20 3064 195
20 1087 302
20 1167 19
20 775 785
20 4771 20
20 4106 374
20 4589 235
20 4933 414
20 1871 591
21 4762 191
21 1956 336
21 1319 847
21 3341 790
21 2224 245
21 2134 286
21 2870 869
21 1681 808
21 2140 270
22 1840 185
22 4093 806
22 2668 879
22 3872 249
22 1834 358
22 2674 447
22 3023 816
22 1120 585
22 2111 313
23 2249 610
23 1709 646
23 3482 292
23 4222 590
23 932 331
23 3062 402
23 2595 893
23 4471 301
23 24 112
24 443 624
24 3079 556
24 1724 15
24 4737 859
24 1307 49
24 2269 214
24 23 112
24 2690 112
24 4337 735
25 2137 274
25 670 293
25 4433 788
25 3911 243
25 1516 248
25 2952 897
25 2959 245
25 770 462
25 996 84
26 1866 624
26 29 212
26 4031 426
26 2491 212
26 1585 513
26 499 445
26 4917 549
26 4252 340
